"CITY","NAME","REVIEW"
"Wellington","rydges-wellington-airport","/reviews/nz/hotel/rydges-wellington-airport.en-gb.html"
"Wellington","oaks-wellington","/reviews/nz/hotel/oaks-wellington.en-gb.html"
"Wellington","bolton","/reviews/nz/hotel/bolton.en-gb.html"
"Wellington","rydges-wellington","/reviews/nz/hotel/rydges-wellington.en-gb.html"
"Wellington","quest-on-lambton-serviced-apartments","/reviews/nz/hotel/quest-on-lambton-serviced-apartments.en-gb.html"
"Wellington","boulcott-suites","/reviews/nz/hotel/boulcott-suites.en-gb.html"
"Wellington","museum","/reviews/nz/hotel/museum.en-gb.html"
"Wellington","intercontinental-wellington","/reviews/nz/hotel/intercontinental-wellington.en-gb.html"
"Wellington","thorndon-wellington","/reviews/nz/hotel/thorndon-wellington.en-gb.html"
"Wellington","quest-on-johnston","/reviews/nz/hotel/quest-on-johnston.en-gb.html"
"Wellington","doubletree-by-hilton-wellington","/reviews/nz/hotel/doubletree-by-hilton-wellington.en-gb.html"
"Wellington","proximity-wellington-thorndon","/reviews/nz/hotel/proximity-wellington-thorndon.en-gb.html"
"Wellington","stratford-on-willis-apartment","/reviews/nz/hotel/stratford-on-willis-apartment.en-gb.html"
"Wellington","copthorne-oriental-bay","/reviews/nz/hotel/copthorne-oriental-bay.en-gb.html"
"Wellington","sofitel-wellington","/reviews/nz/hotel/sofitel-wellington.en-gb.html"
"Wellington","trinity-the-just","/reviews/nz/hotel/trinity-the-just.en-gb.html"
"Wellington","james-cook-grand-chancellor","/reviews/nz/hotel/james-cook-grand-chancellor.en-gb.html"
"Wellington","quest-on-thorndon-wellington","/reviews/nz/hotel/quest-on-thorndon-wellington.en-gb.html"
"Wellington","museum-art","/reviews/nz/hotel/museum-art.en-gb.html"
"Wellington","west-plaza","/reviews/nz/hotel/west-plaza.en-gb.html"
"Wellington","travelodge-wellington","/reviews/nz/hotel/travelodge-wellington.en-gb.html"
"Wellington","gilmer","/reviews/nz/hotel/gilmer.en-gb.html"
"Wellington","room-courtenay-place","/reviews/nz/hotel/room-courtenay-place.en-gb.html"
"Wellington","willis-village","/reviews/nz/hotel/willis-village.en-gb.html"
"Wellington","capital-wellington","/reviews/nz/hotel/capital-wellington.en-gb.html"
"Wellington","tryp-by-wyndham-wellington-tory-street","/reviews/nz/hotel/tryp-by-wyndham-wellington-tory-street.en-gb.html"
"Wellington","citylife-wellington","/reviews/nz/hotel/citylife-wellington.en-gb.html"
"Wellington","tory-at-century-city","/reviews/nz/hotel/tory-at-century-city.en-gb.html"
"Wellington","quality-wellington","/reviews/nz/hotel/quality-wellington.en-gb.html"
"Wellington","ibis-wellington","/reviews/nz/hotel/ibis-wellington.en-gb.html"
"Wellington","abel-tasman","/reviews/nz/hotel/abel-tasman.en-gb.html"
"Wellington","naumi-studio-wellington","/reviews/nz/hotel/naumi-studio-wellington.en-gb.html"
"Wellington","at-home-wellington-city-wellington","/reviews/nz/hotel/at-home-wellington-city-wellington.en-gb.html"
"Wellington","microtel-wellington","/reviews/nz/hotel/microtel-wellington.en-gb.html"
"Wellington","the-intrepid-wellington","/reviews/nz/hotel/the-intrepid-wellington.en-gb.html"
"Wellington","ramada-by-wyndham-wellington-taranaki-street","/reviews/nz/hotel/ramada-by-wyndham-wellington-taranaki-street.en-gb.html"
"Wellington","the-bay-plaza","/reviews/nz/hotel/the-bay-plaza.en-gb.html"
"Wellington","quest-wellington-serviced-apartments","/reviews/nz/hotel/quest-wellington-serviced-apartments.en-gb.html"
"Wellington","ohtel","/reviews/nz/hotel/ohtel.en-gb.html"
"Wellington","brentwood","/reviews/nz/hotel/brentwood.en-gb.html"
"Wellington","the-cobbler","/reviews/nz/hotel/the-cobbler.en-gb.html"
"Wellington","capital-lodge-motor-inn","/reviews/nz/hotel/capital-lodge-motor-inn.en-gb.html"
"Wellington","central-city-apartment","/reviews/nz/hotel/central-city-apartment.en-gb.html"
"Wellington","sojourn-apartment","/reviews/nz/hotel/sojourn-apartment.en-gb.html"
"Wellington","sojourn-apartment-ghuznee","/reviews/nz/hotel/sojourn-apartment-ghuznee.en-gb.html"
"Wellington","rivers","/reviews/nz/hotel/rivers.en-gb.html"
"Wellington","gourmet-stay","/reviews/nz/hotel/gourmet-stay.en-gb.html"
"Hamilton","commercial-accommodation","/reviews/nz/hotel/commercial-accommodation.en-gb.html"
"Hamilton","ibis-tainui-hamilton","/reviews/nz/hotel/ibis-tainui-hamilton.en-gb.html"
"Hamilton","retro-motel","/reviews/nz/hotel/retro-motel.en-gb.html"
"Hamilton","quest-hamilton","/reviews/nz/hotel/quest-hamilton.en-gb.html"
"Hamilton","hamilton-airport-motor-inn-conference-centre","/reviews/nz/hotel/hamilton-airport-motor-inn-conference-centre.en-gb.html"
"Hamilton","kingsgate-hamilton","/reviews/nz/hotel/kingsgate-hamilton.en-gb.html"
"Hamilton","ventura-inn-suites-hamilton","/reviews/nz/hotel/ventura-inn-suites-hamilton.en-gb.html"
"Hamilton","le-grand","/reviews/nz/hotel/le-grand.en-gb.html"
"Hamilton","quest-on-ward-hamilton","/reviews/nz/hotel/quest-on-ward-hamilton.en-gb.html"
"Hamilton","gardena-court-motel-hamilton","/reviews/nz/hotel/gardena-court-motel-hamilton.en-gb.html"
"Hamilton","hidden-lake","/reviews/nz/hotel/hidden-lake.en-gb.html"
"Napier","quality-inn-napier","/reviews/nz/hotel/quality-inn-napier.en-gb.html"
"Napier","the-crown","/reviews/nz/hotel/the-crown.en-gb.html"
"Napier","art-deco-masonic-napier","/reviews/nz/hotel/art-deco-masonic-napier.en-gb.html"
"Napier","viceroy","/reviews/nz/hotel/viceroy.en-gb.html"
"Napier","scenic-circle-te-pania","/reviews/nz/hotel/scenic-circle-te-pania.en-gb.html"
"Napier","navigate-seaside-accommodation","/reviews/nz/hotel/navigate-seaside-accommodation.en-gb.html"
"Napier","east-pier","/reviews/nz/hotel/east-pier.en-gb.html"
"Napier","swiss-belboutiquenapier","/reviews/nz/hotel/swiss-belboutiquenapier.en-gb.html"
"Napier","westshore-inn","/reviews/nz/hotel/westshore-inn.en-gb.html"
"Napier","nautilus","/reviews/nz/hotel/nautilus.en-gb.html"
"Napier","quest-hastings","/reviews/nz/hotel/quest-hastings.en-gb.html"
"Napier","porters-boutique","/reviews/nz/hotel/porters-boutique.en-gb.html"
"Christchurch","ramada-christchurch","/reviews/nz/hotel/ramada-christchurch.en-gb.html"
"Christchurch","the-observatory-christchurch","/reviews/nz/hotel/the-observatory-christchurch.en-gb.html"
"Christchurch","wyndham-garden-christchurch-city","/reviews/nz/hotel/wyndham-garden-christchurch-city.en-gb.html"
"Christchurch","rydges-latimer-christchurch","/reviews/nz/hotel/rydges-latimer-christchurch.en-gb.html"
"Christchurch","sudima-christchurch-city","/reviews/nz/hotel/sudima-christchurch-city.en-gb.html"
"Christchurch","ymca-christchurch","/reviews/nz/hotel/ymca-christchurch.en-gb.html"
"Christchurch","crowne-plaza-christchurch-christchurch","/reviews/nz/hotel/crowne-plaza-christchurch-christchurch.en-gb.html"
"Christchurch","the-george","/reviews/nz/hotel/the-george.en-gb.html"
"Christchurch","breakfree-on-cashel","/reviews/nz/hotel/breakfree-on-cashel.en-gb.html"
"Christchurch","the-mayfair","/reviews/nz/hotel/the-mayfair.en-gb.html"
"Christchurch","commodore-christchurch-airport","/reviews/nz/hotel/commodore-christchurch-airport.en-gb.html"
"Christchurch","southwark-apartments","/reviews/nz/hotel/southwark-apartments.en-gb.html"
"Christchurch","apartment-118","/reviews/nz/hotel/apartment-118.en-gb.html"
"Christchurch","scenic-circle-cotswold","/reviews/nz/hotel/scenic-circle-cotswold.en-gb.html"
"Christchurch","sudima-christchurch-airport","/reviews/nz/hotel/sudima-christchurch-airport.en-gb.html"
"Christchurch","questcc","/reviews/nz/hotel/questcc.en-gb.html"
"Christchurch","fino-amp-suites","/reviews/nz/hotel/fino-amp-suites.en-gb.html"
"Christchurch","quest-on-manchester","/reviews/nz/hotel/quest-on-manchester.en-gb.html"
"Christchurch","wigram-christchurch","/reviews/nz/hotel/wigram-christchurch.en-gb.html"
"Christchurch","garden","/reviews/nz/hotel/garden.en-gb.html"
"Christchurch","ibis","/reviews/nz/hotel/ibis.en-gb.html"
"Christchurch","pavilions-christchurch","/reviews/nz/hotel/pavilions-christchurch.en-gb.html"
"Christchurch","the-salisbury-business-class","/reviews/nz/hotel/the-salisbury-business-class.en-gb.html"
"Christchurch","christchurch","/reviews/nz/hotel/christchurch.en-gb.html"
"Christchurch","classic-villa","/reviews/nz/hotel/classic-villa.en-gb.html"
"Christchurch","parkview-on-hagley","/reviews/nz/hotel/parkview-on-hagley.en-gb.html"
"Christchurch","the-salisbury-luxury-class","/reviews/nz/hotel/the-salisbury-luxury-class.en-gb.html"
"Christchurch","montreal-christchurch","/reviews/nz/hotel/montreal-christchurch.en-gb.html"
"Christchurch","peppers-clearwater-resort","/reviews/nz/hotel/peppers-clearwater-resort.en-gb.html"
"Christchurch","christchurch-city-thc-group","/reviews/nz/hotel/christchurch-city-thc-group.en-gb.html"
"Christchurch","chateau-on-the-park","/reviews/nz/hotel/chateau-on-the-park.en-gb.html"
"Christchurch","the-parque","/reviews/nz/hotel/the-parque.en-gb.html"
"Christchurch","115","/reviews/nz/hotel/115.en-gb.html"
"Christchurch","golden","/reviews/nz/hotel/golden.en-gb.html"
"Christchurch","cosa","/reviews/nz/hotel/cosa.en-gb.html"
"Christchurch","heritage-christchurch","/reviews/nz/hotel/heritage-christchurch.en-gb.html"
"Christchurch","best-western-alpine","/reviews/nz/hotel/best-western-alpine.en-gb.html"
"Christchurch","airport-gateway-motor-lodge","/reviews/nz/hotel/airport-gateway-motor-lodge.en-gb.html"
"Christchurch","the-redwood","/reviews/nz/hotel/the-redwood.en-gb.html"
"Christchurch","terra-vive-luxury-motor-lodge-apartments","/reviews/nz/hotel/terra-vive-luxury-motor-lodge-apartments.en-gb.html"
"Christchurch","beach-life-apartments","/reviews/nz/hotel/beach-life-apartments.en-gb.html"
"Christchurch","novotel-christchurch-airport","/reviews/nz/hotel/novotel-christchurch-airport.en-gb.html"
"Christchurch","delago-motel","/reviews/nz/hotel/delago-motel.en-gb.html"
"Christchurch","colombo-lodge","/reviews/nz/hotel/colombo-lodge.en-gb.html"
"Christchurch","the-towers-on-the-park","/reviews/nz/hotel/the-towers-on-the-park.en-gb.html"
"Rotorua","princes-gate","/reviews/nz/hotel/princes-gate.en-gb.html"
"Rotorua","rydges-rotorua","/reviews/nz/hotel/rydges-rotorua.en-gb.html"
"Rotorua","regent-of-rotorua-boutique","/reviews/nz/hotel/regent-of-rotorua-boutique.en-gb.html"
"Rotorua","vr-rotorua-lake-resort","/reviews/nz/hotel/vr-rotorua-lake-resort.en-gb.html"
"Rotorua","ventura-inn-suites-rotorua","/reviews/nz/hotel/ventura-inn-suites-rotorua.en-gb.html"
"Rotorua","black-swan-lakeside-boutique","/reviews/nz/hotel/black-swan-lakeside-boutique.en-gb.html"
"Rotorua","ibis-rotorua","/reviews/nz/hotel/ibis-rotorua.en-gb.html"
"Rotorua","sudima-lake-rotorua","/reviews/nz/hotel/sudima-lake-rotorua.en-gb.html"
"Rotorua","millennium-rotorua","/reviews/nz/hotel/millennium-rotorua.en-gb.html"
"Rotorua","lakeside-rotorua","/reviews/nz/hotel/lakeside-rotorua.en-gb.html"
"Rotorua","heritage-rotorua","/reviews/nz/hotel/heritage-rotorua.en-gb.html"
"Rotorua","hana-lodge","/reviews/nz/hotel/hana-lodge.en-gb.html"
"Rotorua","kingsgate-rotorua","/reviews/nz/hotel/kingsgate-rotorua.en-gb.html"
"Rotorua","awa","/reviews/nz/hotel/awa.en-gb.html"
"Rotorua","pullman-rotorua","/reviews/nz/hotel/pullman-rotorua.en-gb.html"
"Rotorua","base-hot-rock-rotorua","/reviews/nz/hotel/base-hot-rock-rotorua.en-gb.html"
"Nelson","beachcomber-motor-inn","/reviews/nz/hotel/beachcomber-motor-inn.en-gb.html"
"Nelson","trailways-nelson","/reviews/nz/hotel/trailways-nelson.en-gb.html"
"Nelson","delorenzo-studio-apartments","/reviews/nz/hotel/delorenzo-studio-apartments.en-gb.html"
"Nelson","the-honest-lawyer-country-pub","/reviews/nz/hotel/the-honest-lawyer-country-pub.en-gb.html"
"Nelson","quest-nelson","/reviews/nz/hotel/quest-nelson.en-gb.html"
"Nelson","u-boutique-on-haven","/reviews/nz/hotel/u-boutique-on-haven.en-gb.html"
"Nelson","maitai-whare-iti-nelson1","/reviews/nz/hotel/maitai-whare-iti-nelson1.en-gb.html"
"Nelson","grand-mercure-nelson-monaco","/reviews/nz/hotel/grand-mercure-nelson-monaco.en-gb.html"
"Tauranga","clarence","/reviews/nz/hotel/clarence.en-gb.html"
"Tauranga","the-sebel-trinity-wharf-tauranga","/reviews/nz/hotel/the-sebel-trinity-wharf-tauranga.en-gb.html"
"Tauranga","quest-tauranga-tauranga","/reviews/nz/hotel/quest-tauranga-tauranga.en-gb.html"
"Tauranga","quest-tauranga","/reviews/nz/hotel/quest-tauranga.en-gb.html"
"Tauranga","armitage","/reviews/nz/hotel/armitage.en-gb.html"
"Tauranga","atlas-suites-and-apartments","/reviews/nz/hotel/atlas-suites-and-apartments.en-gb.html"
"Tauranga","quest-mt-maunganui","/reviews/nz/hotel/quest-mt-maunganui.en-gb.html"
"Tauranga","oceanside-resort","/reviews/nz/hotel/oceanside-resort.en-gb.html"
"Tauranga","pacific-palms-resort-papamoa","/reviews/nz/hotel/pacific-palms-resort-papamoa.en-gb.html"
"Dunedin","the-chamberson","/reviews/nz/hotel/the-chamberson.en-gb.html"
"Dunedin","st-clair-beach-resort","/reviews/nz/hotel/st-clair-beach-resort.en-gb.html"
"Dunedin","ebb-dunedin","/reviews/nz/hotel/ebb-dunedin.en-gb.html"
"Dunedin","law-courts","/reviews/nz/hotel/law-courts.en-gb.html"
"Dunedin","dunedin","/reviews/nz/hotel/dunedin.en-gb.html"
"Dunedin","the-victoria-dunedin","/reviews/nz/hotel/the-victoria-dunedin.en-gb.html"
"Dunedin","leviathan","/reviews/nz/hotel/leviathan.en-gb.html"
"Dunedin","leisure-lodge","/reviews/nz/hotel/leisure-lodge.en-gb.html"
"Dunedin","scenic-circle-dunedin-city","/reviews/nz/hotel/scenic-circle-dunedin-city.en-gb.html"
"Dunedin","scenic-circle-southern-cross","/reviews/nz/hotel/scenic-circle-southern-cross.en-gb.html"
"Dunedin","chapel-apartments","/reviews/nz/hotel/chapel-apartments.en-gb.html"
"Dunedin","quest-dunedin","/reviews/nz/hotel/quest-dunedin.en-gb.html"
"Dunedin","distinction-dunedin","/reviews/nz/hotel/distinction-dunedin.en-gb.html"
"Auckland","ramada-manukau","/reviews/nz/hotel/ramada-manukau.en-gb.html"
"Auckland","intercontinental-hotels-auckland-an-ihg","/reviews/nz/hotel/intercontinental-hotels-auckland-an-ihg.en-gb.html"
"Auckland","proximity-apartments","/reviews/nz/hotel/proximity-apartments.en-gb.html"
"Auckland","aachen-house-auckland","/reviews/nz/hotel/aachen-house-auckland.en-gb.html"
"Auckland","royal-residency","/reviews/nz/hotel/royal-residency.en-gb.html"
"Auckland","four-points-by-sheraton-auckland","/reviews/nz/hotel/four-points-by-sheraton-auckland.en-gb.html"
"Auckland","ventura-inn-suites-auckland-airport","/reviews/nz/hotel/ventura-inn-suites-auckland-airport.en-gb.html"
"Auckland","abstract-amp-residences","/reviews/nz/hotel/abstract-amp-residences.en-gb.html"
"Auckland","marsden-viaduct","/reviews/nz/hotel/marsden-viaduct.en-gb.html"
"Auckland","waipuna","/reviews/nz/hotel/waipuna.en-gb.html"
"Auckland","jw-marriott-auckland","/reviews/nz/hotel/jw-marriott-auckland.en-gb.html"
"Auckland","fitzroy","/reviews/nz/hotel/fitzroy.en-gb.html"
"Auckland","jet-park-airport-conference-centre","/reviews/nz/hotel/jet-park-airport-conference-centre.en-gb.html"
"Auckland","park-hyatt-auckland","/reviews/nz/hotel/park-hyatt-auckland.en-gb.html"
"Auckland","centra-auckland-airport","/reviews/nz/hotel/centra-auckland-airport.en-gb.html"
"Auckland","travelodge-auckland-wynyard-quarter","/reviews/nz/hotel/travelodge-auckland-wynyard-quarter.en-gb.html"
"Auckland","president-hotel-auckland","/reviews/nz/hotel/president-hotel-auckland.en-gb.html"
"Auckland","greenlane-suites","/reviews/nz/hotel/greenlane-suites.en-gb.html"
"Auckland","heritage-auckland","/reviews/nz/hotel/heritage-auckland.en-gb.html"
